location,Type_of_service,name
MG Road,Pubs and bars,25
Malleshwaram,Buffet,2
Malleshwaram,Cafes,31
Malleshwaram,Delivery,247
Malleshwaram,Desserts,85
Malleshwaram,Dine-out,254
Malleshwaram,Drinks & nightlife,11
Malleshwaram,Pubs and bars,8
Marathahalli,Buffet,17
Marathahalli,Cafes,31
Marathahalli,Delivery,941
Marathahalli,Desserts,102
Marathahalli,Dine-out,585
Marathahalli,Drinks & nightlife,10
New BEL Road,Buffet,2
New BEL Road,Cafes,23
New BEL Road,Delivery,324
New BEL Road,Desserts,32
New BEL Road,Dine-out,209
New BEL Road,Drinks & nightlife,2
New BEL Road,Pubs and bars,3
Old Airport Road,Buffet,6
Old Airport Road,Cafes,5
Old Airport Road,Delivery,196
Old Airport Road,Desserts,35
Old Airport Road,Dine-out,142
Old Airport Road,Drinks & nightlife,6
Old Airport Road,Pubs and bars,7
Others,Buffet,63
Others,Cafes,114
Others,Delivery,2750
Others,Desserts,276
Others,Dine-out,1457
Others,Drinks & nightlife,55
Others,Pubs and bars,37
Rajajinagar,Buffet,7
Rajajinagar,Cafes,4
Rajajinagar,Delivery,253
Rajajinagar,Desserts,53
Rajajinagar,Dine-out,241
Rajajinagar,Drinks & nightlife,1
Rajajinagar,Pubs and bars,5
Residency Road,Buffet,5
Residency Road,Cafes,26
Residency Road,Delivery,155
Residency Road,Desserts,48
Residency Road,Dine-out,182
Residency Road,Drinks & nightlife,32
Residency Road,Pubs and bars,17
Richmond Road,Buffet,44
Richmond Road,Cafes,21
Richmond Road,Delivery,246
Richmond Road,Desserts,78
Richmond Road,Dine-out,291
Richmond Road,Drinks & nightlife,1
Richmond Road,Pubs and bars,3
Sarjapur Road,Buffet,13
Sarjapur Road,Cafes,20
Sarjapur Road,Delivery,524
Sarjapur Road,Desserts,82
Sarjapur Road,Dine-out,284
Sarjapur Road,Drinks & nightlife,4
Sarjapur Road,Pubs and bars,8
Shanti Nagar,Buffet,9
Shanti Nagar,Cafes,22
Shanti Nagar,Delivery,198
Shanti Nagar,Desserts,39
Shanti Nagar,Dine-out,228
Shanti Nagar,Drinks & nightlife,4
Shanti Nagar,Pubs and bars,2
Shivajinagar,Buffet,6
Shivajinagar,Cafes,17
Shivajinagar,Delivery,143
Shivajinagar,Desserts,37
Shivajinagar,Dine-out,280
Shivajinagar,Drinks & nightlife,7
Shivajinagar,Pubs and bars,8
St. Marks Road,Buffet,5
St. Marks Road,Cafes,5
St. Marks Road,Delivery,88
St. Marks Road,Desserts,10
St. Marks Road,Dine-out,115
St. Marks Road,Drinks & nightlife,25
St. Marks Road,Pubs and bars,15
Ulsoor,Cafes,48
Ulsoor,Delivery,425
Ulsoor,Desserts,59
Ulsoor,Dine-out,264
Ulsoor,Drinks & nightlife,13
Ulsoor,Pubs and bars,17
Whitefield,Buffet,21
Whitefield,Cafes,42
Whitefield,Delivery,979
Whitefield,Desserts,133
Whitefield,Dine-out,683
Whitefield,Drinks & nightlife,23
Whitefield,Pubs and bars,17
